Timestamps,Bytes_Sent (TCP),Bytes_Sent (UDP),Bytes_Sent (Other),Bytes_Received (TCP),Bytes_Received (UDP),Bytes_Received (Other),Packets_Sent (TCP),Packets_Sent (UDP),Packets_Sent (Other),Packets_Received (TCP),Packets_Received (UDP),Packets_Received (Other)
2/16/2024 0:00,946,596,206,1153,891,284,30,37,26,64,28,27
2/16/2024 0:05,880,496,176,1047,505,174,56,23,11,58,29,29
2/16/2024 0:10,740,859,266,761,608,189,57,20,10,30,40,19
2/16/2024 0:15,965,833,205,992,823,242,28,32,20,42,40,16
2/16/2024 0:20,903,763,166,984,452,129,55,27,30,68,19,10
2/16/2024 0:25,1083,546,281,1165,795,191,57,41,14,41,16,30
2/16/2024 0:30,640,617,242,1100,704,287,38,18,19,36,22,20
2/16/2024 0:35,907,455,185,984,583,226,31,25,10,37,37,11
2/16/2024 0:40,838,461,202,759,688,222,45,30,10,59,26,14
2/16/2024 0:45,991,834,156,705,514,273,55,18,30,44,19,21
2/16/2024 0:50,1183,562,139,1021,887,279,35,41,21,29,16,11
2/16/2024 0:55,646,483,203,978,833,254,38,34,20,27,30,22
2/16/2024 1:00,1165,707,163,645,700,287,40,27,25,65,27,28
2/16/2024 1:05,1004,887,114,1189,630,277,24,41,23,68,40,20
2/16/2024 1:10,838,857,216,1194,452,225,25,34,20,30,38,19
2/16/2024 1:15,871,739,125,1171,635,284,47,37,10,65,27,13
2/16/2024 1:20,1072,727,153,663,857,193,67,26,17,51,15,26
2/16/2024 1:25,1017,466,181,1015,625,194,63,31,23,36,21,10
2/16/2024 1:30,1030,599,173,858,777,157,41,23,30,55,22,12
2/16/2024 1:35,993,816,182,712,728,133,66,36,28,49,22,19
2/16/2024 1:40,791,757,158,737,663,287,42,40,18,25,14,18
2/16/2024 1:45,639,553,118,823,831,122,23,23,24,30,20,24
2/16/2024 1:50,716,839,134,1122,827,153,47,18,13,37,14,30
2/16/2024 1:55,646,819,112,1138,577,298,43,39,25,64,19,25
2/16/2024 2:00,1077,718,189,658,896,187,58,15,25,36,19,19
2/16/2024 2:05,918,734,221,1093,554,263,39,21,23,23,32,13
2/16/2024 2:10,793,521,140,1035,498,178,27,29,27,22,15,14
2/16/2024 2:15,959,860,149,673,703,288,53,41,23,62,29,26
2/16/2024 2:20,1189,873,126,760,705,235,62,15,22,67,39,9
2/16/2024 2:25,1165,911,214,812,479,254,36,20,15,23,33,19
2/16/2024 2:30,732,797,222,754,472,148,36,14,16,49,26,19
2/16/2024 2:35,680,471,126,1192,762,104,35,31,21,68,32,22
2/16/2024 2:40,859,898,262,978,866,295,30,32,11,58,20,9
2/16/2024 2:45,839,692,112,829,874,250,57,27,11,35,25,15
2/16/2024 2:50,1128,897,209,862,640,216,34,14,16,66,16,23
2/16/2024 2:55,827,897,216,992,802,260,34,25,9,64,28,22
2/16/2024 3:00,1090,838,202,674,822,151,31,26,13,38,32,16
2/16/2024 3:05,731,832,215,638,795,122,41,19,15,40,22,30
2/16/2024 3:10,673,495,189,621,560,201,44,39,21,55,18,22
2/16/2024 3:15,1051,579,140,648,874,285,65,35,28,23,27,17
2/16/2024 3:20,1019,543,179,862,604,198,49,25,10,43,29,13
2/16/2024 3:25,1105,882,106,667,852,225,59,33,17,27,35,22
2/16/2024 3:30,992,891,272,1053,527,247,37,15,13,49,15,18
2/16/2024 3:35,936,583,105,1125,640,154,59,41,26,42,34,16
2/16/2024 3:40,694,813,249,1006,807,259,29,20,17,42,26,12
2/16/2024 3:45,1195,529,199,893,891,205,52,36,10,56,32,13
2/16/2024 3:50,1165,759,160,944,829,199,67,24,18,29,38,29
2/16/2024 3:55,1170,679,145,935,701,115,30,31,13,64,26,25
2/16/2024 4:00,1069,669,298,674,796,137,24,36,8,51,39,26
2/16/2024 4:05,940,484,112,1157,585,238,45,19,18,33,23,20
2/16/2024 4:10,1060,920,103,1118,538,222,35,38,25,67,37,18
2/16/2024 4:15,1084,863,290,1150,775,149,47,16,27,43,18,15
2/16/2024 4:20,957,491,216,855,460,201,22,21,14,54,29,21
2/16/2024 4:25,636,614,144,1076,494,219,47,26,26,52,25,24
2/16/2024 4:30,859,655,123,1119,758,233,57,34,22,66,16,17
2/16/2024 4:35,1170,535,195,743,887,124,64,15,9,39,36,15
2/16/2024 4:40,1103,912,143,1092,569,152,64,14,21,65,41,17
2/16/2024 4:45,668,701,100,1047,829,241,26,39,22,53,31,28
2/16/2024 4:50,642,733,286,803,512,152,41,29,12,22,27,15
2/16/2024 4:55,793,874,231,763,852,212,24,17,26,65,31,10
2/16/2024 5:00,697,546,142,736,660,160,46,19,8,23,30,18
2/16/2024 5:05,1173,493,178,822,727,234,42,19,27,22,34,23
2/16/2024 5:10,774,800,284,966,736,119,28,15,14,50,39,25
2/16/2024 5:15,1000,860,102,952,804,276,66,21,24,44,26,28
2/16/2024 5:20,991,476,128,1092,730,110,29,41,27,51,30,17
2/16/2024 5:25,841,617,211,853,696,130,45,18,28,57,25,28
2/16/2024 5:30,969,540,241,958,609,200,31,31,23,41,23,15
2/16/2024 5:35,753,889,165,955,679,198,38,19,8,25,24,26
2/16/2024 5:40,1108,788,276,1183,518,153,63,34,29,60,40,24
2/16/2024 5:45,1038,764,177,771,881,155,22,33,30,50,33,15
2/16/2024 5:50,874,743,184,873,600,134,52,38,25,46,41,16
2/16/2024 5:55,880,512,128,657,739,178,44,17,22,28,28,21
2/16/2024 6:00,954,748,258,650,790,196,40,39,10,43,34,27
2/16/2024 6:05,1151,868,180,1048,820,198,32,26,22,28,35,29
2/16/2024 6:10,743,470,250,784,911,121,35,19,11,62,26,18
2/16/2024 6:15,883,560,138,632,860,175,63,36,12,65,33,12
2/16/2024 6:20,694,680,254,672,511,158,49,18,17,67,36,15
2/16/2024 6:25,860,667,125,1119,674,251,42,16,10,62,33,25
2/16/2024 6:30,758,827,213,1037,832,245,26,36,14,60,26,9
2/16/2024 6:35,1022,621,132,695,654,296,32,34,22,22,23,14
2/16/2024 6:40,683,784,200,719,621,272,42,23,19,62,40,17
2/16/2024 6:45,1116,567,270,869,587,148,32,23,24,44,27,30
2/16/2024 6:50,613,845,237,1156,457,287,23,15,11,39,15,29
2/16/2024 6:55,638,894,271,968,837,110,44,23,17,27,36,23
2/16/2024 7:00,887,655,266,649,856,170,46,41,29,39,35,22
2/16/2024 7:05,1129,602,206,830,634,225,55,38,9,58,19,27
